url,hashkey,folder
https://help.gohighlevel.com/support/solutions/articles/155000000959-industry-playbook-financial-service-business,d5b401ba3b1e6ebdf5a0afe7d274f26a08b9ec1cba695b1b98a499e0ce4e8193,https://help.gohighlevel.com/support/solutions/folders/155000000149
https://help.gohighlevel.com/support/solutions/articles/155000001667-client-portal-single-sign-on-sso-and-magic-links,b6fac12ca157b10011265eb41398d28c8828f2f72c6b7c546eca0f619da32414,https://help.gohighlevel.com/support/solutions/folders/155000000015
https://help.gohighlevel.com/support/solutions/articles/48001188055-attach-saas-mode-subscription-plan-to-an-existing-client-sub-account,752ade6dcdee0ce2660edcbbe55bee597043c9229705b77d0b8453bbae3a99b8,https://help.gohighlevel.com/support/solutions/folders/48000676654
https://help.gohighlevel.com/support/solutions/articles/155000000956-show-seats-per-slot-for-class-booking-on-the-booking-widget,f9e5e92d29864a327bedc45e047e1ff242416832de6829a7176796b919326c0e,https://help.gohighlevel.com/support/solutions/folders/48000666396
https://help.gohighlevel.com/support/solutions/articles/155000001301-create-document-contract-templates-and-send-them-automatically-inside-a-workflow,d71624d8b75d35eeb35b1f5d9b7400b592002bf9f3c09aea91d97e7ce76e5e86,https://help.gohighlevel.com/support/solutions/folders/155000000203
https://help.gohighlevel.com/support/solutions/articles/48001209150-how-to-sell-yext-as-part-of-a-saas-offer,dba97f5ed31d92774f11dc2da321df87eb74853aeb958d4d8ab10ee3e5004c38,https://help.gohighlevel.com/support/solutions/folders/48000682876
https://help.gohighlevel.com/support/solutions/articles/155000002148-manually-issue-certificates,440d5da97a49adedd2da89d9b213417dd46e45c70e6db430e20428db3f117ff0,https://help.gohighlevel.com/support/solutions/folders/155000000195
https://help.gohighlevel.com/support/solutions/folders/48000666030,2c6715f77ad38d1831196b55857e8a58d8839fb0f1c327ce0552aaf66593dc5e,
https://help.gohighlevel.com/support/solutions/articles/48001175364-the-highlevel-affiliate-policy,e83289fd1887fd7f6c3d3b2a4ef91b6147547c067c2959f1a0bc86f0f45733ea,https://help.gohighlevel.com/support/solutions/folders/48000666024
https://help.gohighlevel.com/support/solutions/articles/155000002175-download-all-your-certificates-from-client-portal,c538bb3ae79baea44afb06cfb65547ce201472c6d4cfccb556e36e7baa2c7dce,https://help.gohighlevel.com/support/solutions/folders/155000000196
https://help.gohighlevel.com/support/solutions/articles/48000982600-user-access,4c6152f85bf278cf0ef4b6d64a1c4dbd0cb58ea7404e8036e7ff75c8db23a31b,https://help.gohighlevel.com/support/solutions/folders/48000666473
https://help.gohighlevel.com/support/solutions/articles/48001216453-how-to-cancel-saas-sub-account-for-your-client,26d34213806af3259856f98a7a53873c27f343ccd77cc377f4e0112050d549d1,https://help.gohighlevel.com/support/solutions/folders/48000676654
https://help.gohighlevel.com/support/solutions/articles/155000001557-how-to-reduce-spam-likely-by-registering-your-numbers-on-free-caller-registry,51fdbc71ab8f99bef5517948a39a9a2d7ef69f52bbd7f097979c2c0501ebefdb,https://help.gohighlevel.com/support/solutions/folders/48000665895
https://help.gohighlevel.com/support/solutions/articles/155000003551-deactivating-calendar-groups,03b82a7512fc4b4b2c89463eeabc2dc1f7453cdac56256c72e36517c793a9667,https://help.gohighlevel.com/support/solutions/folders/155000000690
https://help.gohighlevel.com/support/solutions/folders/48000666021,72ddf31f916b52eb1c2931306b5925ec9bc4e721ccaa21275875c2df8d333641,
https://help.gohighlevel.com/support/solutions/articles/155000001157-how-to-set-up-an-e-commerce-online-store-websites-,67eae979ffb91984f9c88eada2f2778105aaf80e14809d8dc4e6ff89486333be,https://help.gohighlevel.com/support/solutions/folders/155000000182
https://help.gohighlevel.com/support/solutions/48000449585,740ae8f37aad88da9022109e5c31aa9dd4b7144143f96d0998da4be44c832fcb,https://help.gohighlevel.com/support/solutions/folders/155000000702
